station_id,station_num,station_name,gu,address,lat,lon,monthly_usage,total_rent,total_return,rent_202507,rent_202508,rent_202509,rent_202510,rent_202511
ST-2382,2382,2382. 역삼동 sk뷰 501동앞,강남구,서울특별시 관악구 남부순환로 1868 ,37.479465,126.956932,386.8,1934,1922,455,437,380,360,302
ST-869,869,869.노들섬 동측 앞,용산구,서울특별시 노원구 동일로 지하 1662 노원구 상계동 1132-9,37.67625,127.055504,385.6,1928,1894,253,355,543,428,349
ST-942,942,942. 상림마을 생태공원,은평구,서울특별시 중랑구 동일로 628 하나은행,37.586372,127.080071,385.4,1927,1836,376,362,445,364,380
ST-802,802,802. 한강진역 2번 출구 앞,용산구,서울특별시 강남구 테헤란로 435 포스코4거리 서측(수협 삼성동 지점),37.506607,127.05468,384.6,1923,837,479,404,430,297,313
ST-3101,3101,3101. 서대문구청,서대문구,서울특별시 노원구 월계동 865-5 ,37.625149,127.049934,383.4,1917,1633,272,445,469,372,359
ST-2545,2545,2545.국립중앙도서관(국제회의장옆),서초구,서울특별시 광진구 광진구 능동로 50 ,37.53521,127.069,383,1915,602,492,308,312,396,407
ST-2347,2347,2347. 두산건설 본사,강남구,서울특별시 동작구 노량진로 100 기독교TV멀티미디어센터 ,37.513165,126.937058,380.6,1903,728,355,397,436,354,361
ST-2373,2373,2373. 개포동역 사거리,강남구,서울특별시 관악구 남부순환로 1719 삼성전자디지털센타 ,37.482754,126.941406,379.6,1898,1815,381,346,478,344,349
ST-2815,2815,2815.항동지구 7단지 정문,구로구,서울특별시 영등포구 영등포구 영등포4가 442-6 ,37.518036,126.903648,379.4,1897,1804,381,384,397,361,374
ST-2812,2812,2812.항동프라자,구로구,서울특별시 영등포구 영등포구 양평동3가 22-1 ,37.525726,126.886002,379.2,1896,2255,405,356,467,365,303
ST-173,173,173. 서대문역 8번출구 앞,서대문구,서울특별시 종로구 창경궁로 234 성대입구 사거리,37.5825,126.998535,375.2,1876,1902,353,366,426,345,386
ST-2357,2357,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),강남구,서울특별시 동작구 만양로 6 e편한세상 상도 노빌리티 ,37.504688,126.946648,375,1875,1627,403,297,359,399,417
ST-3105,3105,3105. 홍은센트레빌 아파트 앞,서대문구,서울특별시 동작구 보라매로5길 24 ,37.493042,126.92363,374.6,1873,715,324,429,503,308,309
ST-425,425,425. DMC첨단산업센터,마포구,서울특별시 영등포구 여의동로 48 샛강생태공원장문자센터 앞,37.518963,126.921616,373.6,1868,1848,351,389,459,352,317
ST-388,388,388. 동성중학교 앞,종로구,서울특별시 광진구 구천면로 2 광진청소년수련관,37.546547,127.106133,373.6,1868,1848,374,323,443,354,374
ST-2371,2371,2371. 한국우편사업진흥원,강남구,서울특별시 관악구 은천로 110 더블유에스타워 ,37.486736,126.947517,373,1865,810,343,414,426,325,357
ST-2351,2351,2351. 청소년수련관(수영장)앞,강남구,서울특별시 동작구 흑석동 143-135 ,37.510838,126.961632,371,1855,1478,430,292,421,369,343
ST-2370,2370,2370. 한티역 3번출구,강남구,서울특별시 관악구 봉천동 1693-38 ,37.478821,126.95961,370.8,1854,1789,389,344,413,355,353
ST-724,724,724. 계남공원 입구 주출입구 좌측,양천구,서울특별시 관악구 신림로 270 관악구 신림동 808-263,37.478428,126.931862,369.6,1848,1324,391,390,354,342,371
ST-1853,1853,1853. 청년취업사관학교앞,금천구,서울특별시 송파구 송이로 123 국립경찰병원 ,37.495693,127.123856,369.2,1846,1742,363,389,400,347,347
ST-1714,1714,1714. 도봉문화정보도서관 삼거리,도봉구,서울특별시 강서구 마곡동 796-2 ,37.560261,126.835464,368.2,1841,476,364,422,369,317,369
ST-1774,1774,1774.정의여중고 버스정류소,도봉구,서울특별시 중구 소공로 106 서울 웨스틴조선호텔 ,37.564159,126.979485,367.2,1836,1800,372,384,410,304,366
ST-3005,3005,3005.마포구청 청사내,마포구,서울특별시 송파구 방이동 88-13 ,37.52597,127.11821,365.8,1829,1828,407,393,403,334,292
ST-671,671,671.대광빌딩,동대문구,서울특별시 구로구 구로중앙로 48 구로구 구로동 65,37.494141,126.889984,365.6,1828,1767,370,390,426,348,294
ST-382,382,382. 약수역 10번출구 앞,중구,서울특별시 광진구 군자동 98-22 ,37.550396,127.075859,364.4,1822,1863,395,337,427,388,275
ST-1863,1863,1863.위너스 스포츠클럽 골프연습장옆,금천구,서울특별시 송파구 장지동 839 ,37.486027,127.133698,362.4,1812,1675,375,355,385,355,342
ST-1635,1635,"1635. 상계3,4동 주민센터 대여소",노원구,서울특별시 성북구 창경궁로 325 한성대역5번출구,37.58839,127.005608,362.4,1812,1468,414,364,376,345,313
ST-2321,2321,2321. 학여울역 사거리,강남구,서울특별시 광진구 화양동 18-39 ,37.547989,127.069504,362.2,1811,1728,463,394,367,327,260
ST-867,867,867.서빙고역 광장(1번출구),용산구,서울특별시 노원구 노원로22길 1 노원구 중계1동 360-18,37.648209,127.070221,362.2,1811,1964,358,354,417,327,355
ST-1200,1200,1200. 개화광역환승센터,강서구,서울특별시 성북구 보문로 204 ,37.591713,127.013557,362,1810,1689,384,355,381,341,349
ST-3134,3134,3134.SK리쳄블(서울아리수본부),서대문구,서울특별시 노원구 상계로 309 ,37.670738,127.07962,360.2,1801,1650,212,442,478,310,359
ST-1826,1826,1826. 한신코아 앞,금천구,서울특별시 종로구 부암동 134-2 ,37.59726,126.963089,358.4,1792,2147,415,356,414,328,279
ST-397,397,397. 종묘공영주차장 건너편,종로구,서울특별시 동대문구 천호대로 145 동대문구청 ,37.574776,127.040367,358,1790,1699,313,309,458,400,310
